,Unnamed: 0,raw_header,reuters_url,article_publish_date,processed_header,neg,neu,pos,compound
29,29,MEDIA-Apple to produce millions of 'made in Vietnam' AirPods amid pandemic - Nikkei,https://www.reuters.com/article/media-apple-to-produce-millions-of-made/media-apple-to-produce-millions-of-made-in-vietnam-airpods-amid-pandemic-nikkei-idUSL4N2CQ2BC,a month ago,Apple to produce millions of 'made in Vietnam' AirPods amid pandemic - Nikkei,0.0,1.0,0.0,0.0
30,30,Japan's Sharp halves full-year profit forecast as virus hits tech demand,https://www.reuters.com/article/us-sharp-results/japans-sharp-halves-full-year-profit-forecast-as-virus-hits-tech-demand-idUSKBN22K0WX,a month ago,Japan's Sharp halves full-year profit forecast as virus hits tech demand,0.112,0.672,0.216,0.34
31,31,BRIEF-Apple Awards $10 Mln From Advanced Manufacturing Fund To COPAN Diagnostics,https://www.reuters.com/article/brief-apple-awards-10-mln-from-advanced/brief-apple-awards-10-mln-from-advanced-manufacturing-fund-to-copan-diagnostics-idUSFWN2CP0QL,a month ago,Apple Awards $10 Mln From Advanced Manufacturing Fund To COPAN Diagnostics,0.0,0.643,0.357,0.6124
32,32,Apple faces class action over 'inferior' iPhone antenna,https://www.reuters.com/article/products-apple/apple-faces-class-action-over-inferior-iphone-antenna-idUSL1N2CO2H5,a month ago,Apple faces class action over 'inferior' iPhone antenna,0.278,0.722,0.0,-0.4019
33,33,BRIEF-Schaeffler Q1 EBIT At EUR -88.0 Mln,https://www.reuters.com/article/brief-schaeffler-q1-ebit-at-eur-880-mln/brief-schaeffler-q1-ebit-at-eur-88-0-mln-idUSASN0006FG,a month ago,Schaeffler Q1 EBIT At EUR -88.0 Mln,0.0,1.0,0.0,0.0
34,34,"Breakingviews - Corona Capital: Apple bonds, DuPont’s priorities",https://www.reuters.com/article/us-health-coronavirus-finance-breakingvi/breakingviews-corona-capital-apple-bonds-duponts-priorities-idUSKBN22H31W,a month ago,"Corona Capital: Apple bonds, DuPont’s priorities",0.0,1.0,0.0,0.0
35,35,"FACTBOX-Apple, Costco, J&J among few to hike dividend during coronavirus crisis",https://www.reuters.com/article/health-coronavirus-dividend/factbox-apple-costco-jj-among-few-to-hike-dividend-during-coronavirus-crisis-idUSL4N2CN2PK,a month ago,"Apple, Costco, J&J among few to hike dividend during coronavirus crisis",0.291,0.709,0.0,-0.6249
36,36,Apple to hold annual developers event online from June 22,https://www.reuters.com/article/us-apple-developer/apple-to-hold-annual-developers-event-online-from-june-22-idUSKBN22H2CV,a month ago,Apple to hold annual developers event online from June 22,0.0,1.0,0.0,0.0
37,37,France accuses Apple of refusing help with 'StopCovid' app,https://www.reuters.com/article/us-health-coronavirus-france-tech/france-accuses-apple-of-refusing-help-with-stopcovid-app-idUSKBN22H0LX,a month ago,France accuses Apple of refusing help with 'StopCovid' app,0.37,0.435,0.196,-0.34
38,38,"Apple, Google ban use of location tracking in contact tracing apps",https://www.reuters.com/article/us-health-coronavirus-usa-apps/apple-google-ban-use-of-location-tracking-in-contact-tracing-apps-idUSKBN22G28W,2 months ago,"Apple, Google ban use of location tracking in contact tracing apps",0.265,0.735,0.0,-0.5574
39,39,"Apple borrows on the cheap to fund buybacks, dividends",https://www.reuters.com/article/us-apple-debt/apple-borrows-on-the-cheap-to-fund-buybacks-dividends-idUSKBN22H001,2 months ago,"Apple borrows on the cheap to fund buybacks, dividends",0.0,1.0,0.0,0.0
